year,id,date chick death,time 1 Oct,status,type
2015,2015_031,30/01/2016,90,0,NAT
2015,2015_032,18/12/2015,47,1,NAT
2015,2015_033,30/01/2016,90,0,NAT
2015,2015_034,30/01/2016,90,0,NAT
2015,2015_035,30/01/2016,90,0,NAT
2015,2015_036,30/01/2016,90,0,NAT
2015,2015_037,30/01/2016,90,0,NAT
2015,2015_038,30/01/2016,90,0,NAT
2015,2015_039,30/01/2016,90,0,NAT
2015,2015_040,30/01/2016,90,0,NAT
2015,2015_041,30/01/2016,90,0,NAT
2015,2015_042,30/01/2016,90,0,NAT
2015,2015_043,20/01/2016,80,1,NAT
2015,2015_044,30/11/2015,29,1,NAT
2015,2015_045,30/01/2016,90,0,NAT
2015,2015_046,30/01/2016,90,0,NAT
2015,2015_047,6/12/2015,35,1,NAT
2015,2015_048,30/01/2016,90,0,NAT
2015,2015_049,30/01/2016,90,0,NAT
2015,2015_050,30/01/2016,90,0,NAT
2015,2015_051,30/01/2016,90,0,NAT
2015,2015_052,30/01/2016,90,0,NAT
2015,2015_053,30/01/2016,90,0,NAT
2015,2015_054,28/12/2015,57,1,NAT
2015,2015_055,30/01/2016,90,0,NAT
2015,2015_056,30/01/2016,90,0,NAT
2015,2015_057,15/01/2016,75,1,NAT
2015,2015_058,30/01/2016,90,0,NAT
2015,2015_059,30/01/2016,90,0,NAT
2015,2015_060,9/01/2016,69,1,NAT
2015,2015_061,30/01/2016,90,0,NAT
2015,2015_062,11/12/2015,40,1,NAT
2015,2015_063,30/01/2016,90,0,NAT
2015,2015_064,30/01/2016,90,0,NAT
2015,2015_065,10/12/2015,39,1,NAT
2015,2015_066,30/01/2016,90,0,NAT
2015,2015_067,30/01/2016,90,0,NAT
2015,2015_068,30/01/2016,90,0,NAT
2015,2015_069,30/01/2016,90,0,NAT
2015,2015_070,30/01/2016,90,0,NAT
2015,2015_071,30/01/2016,90,0,NAT
2015,2015_072,30/01/2016,90,0,NAT
2015,2015_073,30/01/2016,90,0,NAT
2015,2015_074,30/01/2016,90,0,NAT
2015,2015_075,30/01/2016,90,0,NAT
2015,2015_076,30/01/2016,90,0,NAT
2015,2015_077,20/12/2015,49,1,NAT
2015,2015_078,30/01/2016,90,0,NAT
2015,2015_079,30/01/2016,90,0,NAT
2015,2015_080,30/01/2016,90,0,NAT
2015,2015_081,7/01/2016,67,1,NAT
2015,2015_082,20/12/2015,49,1,NAT
2015,2015_083,21/01/2016,81,1,NAT
2015,2015_084,21/01/2016,81,1,NAT
2015,2015_085,20/01/2016,80,1,NAT
2015,2015_086,25/01/2016,85,1,NAT
2016,2016_001,22/02/2017,113,0,NAT
2016,2016_002,22/02/2017,113,0,NAT
2016,2016_003,22/02/2017,113,0,NAT
2016,2016_004,22/02/2017,113,0,NAT
2016,2016_005,22/02/2017,113,0,NAT
2016,2016_006,22/02/2017,113,0,NAT
2016,2016_007,22/02/2017,113,0,NAT
2016,2016_008,22/02/2017,113,0,NAT
2016,2016_009,22/02/2017,113,0,NAT
2016,2016_010,22/02/2017,113,0,NAT
2016,2016_011,22/02/2017,113,0,NAT
2016,2016_012,22/02/2017,113,0,NAT
2016,2016_013,22/02/2017,113,0,NAT
2016,2016_014,22/02/2017,113,0,NAT
2016,2016_015,22/02/2017,113,0,NAT
2016,2016_016,22/02/2017,113,0,NAT
2016,2016_017,22/02/2017,113,0,NAT
2016,2016_018,22/02/2017,113,0,NAT
2016,2016_019,22/02/2017,113,0,NAT
2016,2016_020,22/02/2017,113,0,NAT
2016,2016_021,22/02/2017,113,0,NAT
2016,2016_022,22/02/2017,113,0,NAT
2016,2016_023,20/02/2017,111,1,NAT
2016,2016_024,22/02/2017,113,0,NAT
2016,2016_025,22/02/2017,113,0,NAT
2016,2016_026,10/02/2017,101,1,NAT
2016,2016_027,22/02/2017,113,0,NAT
2016,2016_028,22/02/2017,113,0,NAT
2016,2016_029,22/02/2017,113,0,NAT
2016,2016_030,22/02/2017,113,0,NAT
2016,2016_031,14/01/2017,74,1,NAT
2016,2016_032,22/02/2017,113,0,NAT
2016,2016_033,22/02/2017,113,0,NAT
2016,2016_034,6/02/2017,97,1,NAT
2016,2016_035,22/02/2017,113,0,NAT
2016,2016_036,22/02/2017,113,0,NAT
2016,2016_037,22/02/2017,113,0,NAT
2016,2016_038,22/02/2017,113,0,NAT
2016,2016_039,22/02/2017,113,0,NAT
2016,2016_040,22/02/2017,113,0,NAT
2016,2016_041,22/02/2017,113,0,NAT
2016,2016_042,22/02/2017,113,0,NAT
2016,2016_043,22/02/2017,113,0,NAT
2016,2016_044,22/02/2017,113,0,NAT
2016,2016_045,22/02/2017,113,0,NAT
2016,2016_046,22/02/2017,113,0,NAT
2016,2016_047,22/02/2017,113,0,NAT
2016,2016_048,10/02/2017,101,1,NAT
2016,2016_049,22/02/2017,113,0,NAT
2016,2016_050,22/02/2017,113,0,NAT
2016,2016_051,22/02/2017,113,0,NAT
2016,2016_052,22/02/2017,113,0,NAT
2016,2016_053,22/02/2017,113,0,NAT
2016,2016_054,13/02/2017,104,1,NAT
2016,2016_055,22/02/2017,113,0,NAT
2016,2016_056,22/02/2017,113,0,NAT
2016,2016_057,22/02/2017,113,0,NAT
2016,2016_058,22/02/2017,113,0,NAT
2016,2016_059,22/02/2017,113,0,NAT
2016,2016_060,22/02/2017,113,0,NAT
2016,2016_061,22/02/2017,113,0,NAT
2016,2016_062,22/02/2017,113,0,NAT
2016,2016_063,22/02/2017,113,0,NAT
2016,2016_064,22/02/2017,113,0,NAT
2016,2016_065,22/02/2017,113,0,NAT
2016,2016_066,22/02/2017,113,0,NAT
2016,2016_067,22/02/2017,113,0,NAT
2016,2016_068,22/02/2017,113,0,NAT
2016,2016_069,22/02/2017,113,0,NAT
2016,2016_070,22/02/2017,113,0,NAT
2016,2016_071,22/02/2017,113,0,NAT
2016,2016_072,22/02/2017,113,0,NAT
2016,2016_073,22/02/2017,113,0,NAT
2016,2016_074,22/02/2017,113,0,NAT
2016,2016_075,22/02/2017,113,0,NAT
2016,2016_076,22/02/2017,113,0,NAT
2016,2016_077,22/02/2017,113,0,NAT
2016,2016_078,22/02/2017,113,0,NAT
2016,2016_079,25/12/2016,54,1,NAT
2016,2016_080,10/02/2017,101,1,NAT
2016,2016_081,1/01/2017,61,1,NAT
2016,2016_082,5/02/2017,96,1,NAT
2016,2016_083,31/01/2017,91,1,NAT
2016,2016_084,2/01/2017,62,1,NAT
2016,2016_085,23/01/2017,83,1,NAT
2016,2016_086,5/02/2017,96,1,NAT
2017,2017_114,28/11/2017,27,1,H
2017,2017_039,2/12/2017,31,1,NAT
2017,2017_066,4/12/2017,33,1,NAT
2017,2017_004,10/05/2018,190,0,H
2017,2017_005,10/05/2018,190,0,NAT
2017,2017_006,10/05/2018,190,0,NAT
2017,2017_099,5/12/2017,34,1,NAT
2017,2017_008,10/05/2018,190,0,NAT
2017,2017_009,10/05/2018,190,0,NAT
2017,2017_010,10/05/2018,190,0,NAT
2017,2017_011,10/05/2018,190,0,H
2017,2017_115,5/12/2017,34,1,NAT
2017,2017_130,11/12/2017,40,1,H
2017,2017_014,10/05/2018,190,0,H
2017,2017_015,10/05/2018,190,0,NAT
2017,2017_129,12/12/2017,41,1,MB
2017,2017_123,15/12/2017,44,1,NAT
2017,2017_003,16/12/2017,45,1,NAT
2017,2017_164,18/12/2017,47,1,NAT
2017,2017_007,21/12/2017,50,1,NAT
2017,2017_076,22/12/2017,51,1,H
2017,2017_150,24/12/2017,53,1,MB
2017,2017_023,10/05/2018,190,0,NAT
2017,2017_024,10/05/2018,190,0,NAT
2017,2017_025,10/05/2018,190,0,NAT
2017,2017_038,27/12/2017,56,1,NAT
2017,2017_027,10/05/2018,190,0,NAT
2017,2017_121,27/12/2017,56,1,MB
2017,2017_143,27/12/2017,56,1,NAT
2017,2017_117,28/12/2017,57,1,MB
2017,2017_147,28/12/2017,57,1,NAT
2017,2017_071,9/01/2018,69,1,NAT
2017,2017_059,11/01/2018,71,1,NAT
2017,2017_034,10/05/2018,190,0,NAT
2017,2017_035,10/05/2018,190,0,NAT
2017,2017_119,13/01/2018,73,1,MB
2017,2017_166,15/01/2018,75,1,NAT
2017,2017_012,16/01/2018,76,1,NAT
2017,2017_030,16/01/2018,76,1,NAT
2017,2017_040,10/05/2018,190,0,NAT
2017,2017_041,10/05/2018,190,0,NAT
2017,2017_118,16/01/2018,76,1,NAT
2017,2017_022,18/01/2018,78,1,NAT
2017,2017_054,18/01/2018,78,1,NAT
2017,2017_045,10/05/2018,190,0,NAT
2017,2017_068,18/01/2018,78,1,NAT
2017,2017_176,18/01/2018,78,1,NAT
2017,2017_046,19/01/2018,79,1,H
2017,2017_049,10/05/2018,190,0,NAT
2017,2017_178,19/01/2018,79,1,NAT
2017,2017_051,10/05/2018,190,0,NAT
2017,2017_052,10/05/2018,190,0,H
2017,2017_179,19/01/2018,79,1,NAT
2017,2017_058,20/01/2018,80,1,NAT
2017,2017_067,20/01/2018,80,1,NAT
2017,2017_056,10/05/2018,190,0,H
2017,2017_139,20/01/2018,80,1,NAT
2017,2017_042,22/01/2018,82,1,MB
2017,2017_060,22/01/2018,82,1,NAT
2017,2017_028,23/01/2018,83,1,NAT
2017,2017_048,23/01/2018,83,1,NAT
2017,2017_182,23/01/2018,83,1,NAT
2017,2017_063,10/05/2018,190,0,NAT
2017,2017_064,10/05/2018,190,0,MB
2017,2017_065,10/05/2018,190,0,MB
2017,2017_016,24/01/2018,84,1,NAT
2017,2017_017,24/01/2018,84,1,NAT
2017,2017_026,24/01/2018,84,1,NAT
2017,2017_031,24/01/2018,84,1,NAT
2017,2017_070,10/05/2018,190,0,NAT
2017,2017_032,24/01/2018,84,1,NAT
2017,2017_072,10/05/2018,190,0,NAT
2017,2017_073,10/05/2018,190,0,MB
2017,2017_074,10/05/2018,190,0,NAT
2017,2017_075,10/05/2018,190,0,MB
2017,2017_036,24/01/2018,84,1,NAT
2017,2017_077,10/05/2018,190,0,MB
2017,2017_055,24/01/2018,84,1,NAT
2017,2017_107,24/01/2018,84,1,NAT
2017,2017_080,10/05/2018,190,0,MB
2017,2017_081,10/05/2018,190,0,MB
2017,2017_082,10/05/2018,190,0,NAT
2017,2017_083,10/05/2018,190,0,H
